Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;1950;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;59844;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;59844;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;1217;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;30223;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;30223;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;2189;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;17961;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;17961;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;199;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;4282;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;4282;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;60;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;1855;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;1855;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;200;0;0;0;0
2019;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;2819;0;0;0;0
2019;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;2819;0;0;0;0
2019;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;50;0;0;0;0
